order,url,name,description,star
1649851842-2352,https://github.com/search?l=Java&o=desc&p=42&q=in%3Adescription+microservice&s=stars&type=Repositories,kmandalas/webclient-showcase,Demo project showing various applications of Spring WebFlux & WebClient in a Microservices setup,16
1649851718-1931,https://github.com/search?l=Java&o=desc&p=84&q=in%3Adescription+microservice&s=stars&type=Repositories,E-Edu/task,task microservice for e-edu,5
1649851836-2334,https://github.com/search?l=Java&o=desc&p=44&q=in%3Adescription+microservice&s=stars&type=Repositories,sergeikh/cloud-enabled-microservice,"Tasks microservice (Spring Boot, MVC, Data, Lombok, Cloud, OAuth2, Config, Eureka, Zuul, Hystrix, Docker)",15
1649851876-2472,https://github.com/search?l=Java&o=desc&p=30&q=in%3Adescription+microservice&s=stars&type=Repositories,piomin/sample-message-driven-microservices,sample spring cloud application that integrates with rabbitmq through spring cloud stream framework as shows how to s…,28
1649851798-2205,https://github.com/search?l=Java&o=desc&p=57&q=in%3Adescription+microservice&s=stars&type=Repositories,jgoodyear/fsto,Empowering MicroServices With Apache Karaf Full Stack Toronto 2015,10
1649851741-2012,https://github.com/search?l=Java&o=desc&p=76&q=in%3Adescription+microservice&s=stars&type=Repositories,szokebarnabas/twitterminer,"Microservices, Spring Cloud, Netflix OSS, Twitter, Eureka, Zuul, RabbitMQ",6
1649851792-2189,https://github.com/search?l=Java&o=desc&p=59&q=in%3Adescription+microservice&s=stars&type=Repositories,deargopinath/jwt-spring-boot,Securing Spring Boot Microservices with JSON Web Tokens (JWT),9
1649851715-1924,https://github.com/search?l=Java&o=desc&p=85&q=in%3Adescription+microservice&s=stars&type=Repositories,sureshpallagani/awslambdadynamodb,"Microservices using Java, AWS Lambda, MongoDB and API Gateway.",5
1649851893-2537,https://github.com/search?l=Java&o=desc&p=24&q=in%3Adescription+microservice&s=stars&type=Repositories,carnellj/spmia-chapter6,Spring Microservices in Action Chapter 6,37
1649851859-2415,https://github.com/search?l=Java&o=desc&p=36&q=in%3Adescription+microservice&s=stars&type=Repositories,springframeworkguru/kbe-sb-microservices,KBE Spring Boot Microservices,20
1649851790-2173,https://github.com/search?l=Java&o=desc&p=60&q=in%3Adescription+microservice&s=stars&type=Repositories,kyeljmd/microservices-for-the-impatient,A Microservice example,9
1649851905-2573,https://github.com/search?l=Java&o=desc&p=20&q=in%3Adescription+microservice&s=stars&type=Repositories,wuyichen24/spring-microservices-in-action,The source code of the book "Spring Microservices in Action (John Carnell)" and the personal summary of technical ess…,50
